region,location,latitude,longitude,area,murder_count,rape_count,gangrape_count,robbery_count,theft_count,assault_count,sexual_harassment_count,total_crime,crime_density,source_file,source_type,is_synthetic,log_murder_count,murder_count_per_area,log_rape_count,rape_count_per_area,log_gangrape_count,gangrape_count_per_area,log_robbery_count,robbery_count_per_area,log_theft_count,theft_count_per_area,log_assault_count,assault_count_per_area,log_sexual_harassment_count,sexual_harassment_count_per_area,murder_count_ratio,rape_count_ratio,gangrape_count_ratio,robbery_count_ratio,theft_count_ratio,assault_count_ratio,sexual_harassment_count_ratio,severity_score,log_severity_score,scaled_latitude,scaled_longitude,nearest_neighbor_density
Delhi,CHITRANJAN PARK,28.53632,77.2492,2.659329537,2,6,1,35,442,19,7,512,192.5297308,crime.csv,real,False,1.0986122886681098,0.7520692611327169,1.9459101490553132,2.2562077833981506,0.6931471805599453,0.37603463056635844,3.58351893845611,13.161212069822545,6.093569770045136,166.2073067103304,2.995732273553991,7.14465798076081,2.0794415416798357,2.632242413964509,0.00390625,0.01171875,0.001953125,0.068359375,0.86328125,0.037109375,0.013671875,782.0,6.663132695990803,-1.5691035127933683,0.7129051305364611,57.79833513421346
Delhi,DABRI,28.61268,77.086,3.401013428,8,28,0,79,240,26,16,397,116.7299125,crime.csv,real,False,2.1972245773362196,2.352240051196881,3.367295829986474,8.232840179189083,0.0,0.0,4.382026634673881,23.2283705055692,5.484796933490655,70.56720153590643,3.295836866004329,7.644780166389863,2.833213344056216,4.704480102393762,0.020151133501259445,0.07052896725440806,0.0,0.19899244332493704,0.6045340050377834,0.0654911838790932,0.04030226700251889,1054.0,6.961296045910167,-0.4257738789295598,-1.1517419892285286,54.40740391708688
Delhi,MALVIYA NAGAR,28.52989,77.20418,1.379853572,3,28,1,33,694,63,15,837,606.5861022,crime.csv,real,False,1.3862943611198906,2.1741437358833027,3.367295829986474,20.29200820157749,0.6931471805599453,0.7247145786277676,3.5263605246161616,23.91558109471633,6.543911845564792,502.9519175676707,4.1588830833596715,45.657018453549355,2.772588722239781,10.870718679416514,0.0035842293906810036,0.03345280764635603,0.0011947431302270011,0.03942652329749104,0.8291517323775388,0.07526881720430108,0.017921146953405017,1464.0,7.289610521451167,-1.6653791747334166,0.19852759786591492,38.436641773919646
Delhi,CHANDNI MAHAL,28.64361,77.23608,5.570696132,1,8,1,23,529,19,7,588,105.5523378,crime.csv,real,False,0.6931471805599453,0.17951077860012055,2.1972245773362196,1.4360862288009644,0.6931471805599453,0.17951077860012055,3.1780538303479458,4.128747907802773,6.272877006546167,94.96120187946377,2.995732273553991,3.4107047934022905,2.0794415416798357,1.256575450200844,0.0017006802721088435,0.013605442176870748,0.0017006802721088435,0.0391156462585034,0.8996598639455783,0.03231292517006803,0.011904761904761904,827.0,6.71901315438526,0.03733750890968455,0.5630021267906434,96.56054880411331
Delhi,MODEL TOWN,28.70257,77.19369,2.689157085,0,4,1,45,393,9,14,466,173.2885009,crime.csv,real,False,0.0,0.0,1.6094379124341003,1.487454943525547,0.6931471805599453,0.37186373588138677,3.828641396489095,16.733868114662403,5.976350909297934,146.142448201385,2.302585092994046,3.346773622932481,2.70805020110221,5.206092302339415,0.0,0.008583690987124463,0.002145922746781116,0.09656652360515021,0.8433476394849786,0.019313304721030045,0.030042918454935622,715.0,6.573680166960646,0.9201389129512263,0.07867374807231249,53.938930815119434
Delhi,ANANDVIHAR,28.65335,77.29373,4.558969692,10,14,0,99,457,24,15,619,135.776292,crime.csv,real,False,2.3978952727983707,2.193478060963604,2.70805020110221,3.0708692853490462,0.0,0.0,4.605170185988092,21.715432803539684,6.126869184114185,100.24194738603671,3.2188758248682006,5.2643473463126504,2.772588722239781,3.2902170914454065,0.01615508885298869,0.022617124394184167,0.0,0.15993537964458804,0.7382875605815832,0.03877221324717286,0.024232633279483037,1245.0,7.1276936993473985,0.18317342606309198,1.2216841516340302,62.26319488147698
Delhi,KASHMERE GATE,28.66645,77.22618,1.627909974,0,9,3,17,340,17,12,398,244.4852641,crime.csv,real,False,0.0,0.0,2.302585092994046,5.528561249542415,1.3862943611198906,1.8428537498474715,2.8903717578961645,10.44283791580234,5.831882477283517,208.85675831604678,2.8903717578961645,10.44283791580234,2.5649493574615367,7.371414999389886,0.0,0.022613065326633167,0.007537688442211055,0.04271356783919598,0.8542713567839196,0.04271356783919598,0.03015075376884422,640.0,6.46302945692067,0.3793182427684001,0.4498893419519402,69.80982708685761
Delhi,GOVIND PURI,28.53067,77.26532,8.99271206,1,4,3,31,692,5,5,741,82.40005852,crime.csv,real,False,0.6931471805599453,0.11120115859686493,1.6094379124341003,0.4448046343874597,1.3862943611198906,0.3336034757905948,3.4657359027997265,3.447235916502813,6.541029999189903,76.95120174903053,1.791759469228055,0.5560057929843246,1.791759469228055,0.5560057929843246,0.001349527665317139,0.005398110661268556,0.004048582995951417,0.04183535762483131,0.9338731443994602,0.006747638326585695,0.006747638326585695,930.0,6.836259277277067,-1.6537003230517444,0.8970847357485475,67.94211754059668
Delhi,BINDAPUR,28.6091,77.06618,2.5680795,4,4,1,64,417,11,8,509,198.2025868,crime.csv,real,False,1.6094379124341003,1.5575841791502172,1.6094379124341003,1.5575841791502172,0.6931471805599453,0.3893960447875543,4.174387269895637,24.921346866403475,6.035481432524756,162.37815067641014,2.4849066497880004,4.283356492663097,2.1972245773362196,3.1151683583004344,0.007858546168958742,0.007858546168958742,0.0019646365422396855,0.12573673870333987,0.8192534381139489,0.021611001964636542,0.015717092337917484,841.0,6.7357800142423265,-0.47937681357114925,-1.378196069582287,53.44557886237239
Delhi,NEW FRIENDS COLONY,28.56234,77.2676,4.04538671,6,7,1,47,609,14,10,694,171.5534385,crime.csv,real,False,1.9459101490553132,1.4831709376926292,2.0794415416798357,1.730366093974734,0.6931471805599453,0.24719515628210487,3.871201010907891,11.618172345258929,6.413458957167357,150.54185017580187,2.70805020110221,3.460732187949468,2.3978952727983707,2.4719515628210487,0.008645533141210375,0.010086455331412104,0.001440922190201729,0.06772334293948126,0.877521613832853,0.020172910662824207,0.01440922190201729,1032.0,6.940222469119639,-1.179508999001661,0.9231349528628988,43.79266472353472
